;filename;id;synset_id;label
0;ILSVRC2012_val_00000001.JPEG;03000247-n;490;chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
1;ILSVRC2012_val_00000002.JPEG;02445715-n;361;skunk, polecat, wood pussy
2;ILSVRC2012_val_00000003.JPEG;02091032-n;171;Italian greyhound
3;ILSVRC2012_val_00000004.JPEG;04311174-n;822;steel drum
4;ILSVRC2012_val_00000005.JPEG;02134418-n;297;sloth bear, Melursus ursinus, Ursus ursinus
5;ILSVRC2012_val_00000006.JPEG;02979186-n;482;cassette player
6;ILSVRC2012_val_00000007.JPEG;01534433-n;13;junco, snowbird
7;ILSVRC2012_val_00000008.JPEG;03891332-n;704;parking meter
8;ILSVRC2012_val_00000009.JPEG;03530642-n;599;honeycomb
9;ILSVRC2012_val_00000010.JPEG;02088632-n;164;bluetick
10;ILSVRC2012_val_00000011.JPEG;03743016-n;649;megalith, megalithic structure
11;ILSVRC2012_val_00000012.JPEG;01531178-n;11;goldfinch, Carduelis carduelis
12;ILSVRC2012_val_00000013.JPEG;01773549-n;73;barn spider, Araneus cavaticus
13;ILSVRC2012_val_00000014.JPEG;02125311-n;286;cougar, puma, catamount, mountain lion, painter, panther, Felis concolor
14;ILSVRC2012_val_00000015.JPEG;03344393-n;554;fireboat
15;ILSVRC2012_val_00000016.JPEG;01498041-n;6;stingray
16;ILSVRC2012_val_00000017.JPEG;03742115-n;648;medicine chest, medicine cabinet
17;ILSVRC2012_val_00000018.JPEG;02667093-n;399;abaya
18;ILSVRC2012_val_00000019.JPEG;04033901-n;749;quill, quill pen
19;ILSVRC2012_val_00000020.JPEG;03271574-n;545;electric fan, blower
20;ILSVRC2012_val_00000021.JPEG;01534433-n;13;junco, snowbird
21;ILSVRC2012_val_00000022.JPEG;02098413-n;204;Lhasa, Lhasa apso
22;ILSVRC2012_val_00000023.JPEG;02264363-n;318;lacewing, lacewing fly
23;ILSVRC2012_val_00000024.JPEG;03873416-n;693;paddle, boat paddle
24;ILSVRC2012_val_00000025.JPEG;02667093-n;399;abaya
25;ILSVRC2012_val_00000026.JPEG;02169497-n;304;leaf beetle, chrysomelid
